markers,lat,lng
Mar 20 - Australia,-37.8497220,144.9683330
Apr 3 - Bahrain,26.0325000,50.5105600
Apr 17 - China,31.3388900,121.2197200
May 1 - Sochi,43.4102780,39.9682710
May 15 - Spain,41.5700000,2.2611100
May 29- Monaco,43.7347220,7.4205560
Jun 12 - Canada,45.5005778,-73.5224611
Jun 19 - Baku,40.3725000,49.8533330
Jul 3 - Austria,47.2197220,14.7647220
Jul 10 - Great Britain,52.0786110,-1.0169440
Jul 24 - Hungary,47.5822200,19.2511100
Jul 31 - Germany,49.3320000,8.5800000
Aug 28 - Belgium,50.4372200,5.9713900
Sep 4 - Italy,45.6205600,9.2894400
Sep 18 - Singapore,1.2915310,103.8638500
Oct 2 - Malaysia,2.7605600,101.7375000
Oct 9 - Japan,34.8430600,136.5405600
Oct 23 - USA,30.1327800,-97.6411100
Oct 30 - Mexico,19.4035000,-99.0889000
Nov 13 - Brazil,-23.7010000,-46.6970000
Nov 27 - Abu Dhabi,24.4672200,54.6030600
